Order,Level,Award,Name,Citation,County
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Anthony Hugh Mostyn JEFFERIES ,"Editor, Gibbons Stamp Monthly and Stamp Catalogues. For services to Philately.",Dorset
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Catherine Rae JOHNSON ,"Founder, Albert Kennedy Trust.  For services to Homeless Young Lesbian, Gay, Bisexual and Transgendered People.",Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Ian William JOHNSON ,"For services to the community in Leigh on Sea, Essex.",Essex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Keith JOHNSON ,For services to the community and to charity in Durham.,Durham
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Joan Elisabeth JONES ,"Quality and Regulatory Compliance Manager, Welsh Blood Service.  For services to Blood Transfusion in Wales and the UK.",Swansea
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lesley Ann JONES ,"Councillor and Mayor, Brent Council.  For services to Local Government.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lynn Margaret JONES ,"Assistant Principal, Ormiston Sir Stanley Matthews Academy, Staffordshire. For services to Education.",Staffordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Susan Mary JONES ,"Lately Director, A-N The Artists Information Company.  For services to the Arts.",Tyne and Wear
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Yvonne Maria JORDAN ,"Advanced Nurse Practitioner, Royal Gwent Hospital, Newport. For services to Nursing in Wales.",Newport
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James JUKES ,"Founder, UK Homes 4 Heroes. For services to the Homeless.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Deborah Mary KEIGHLEY DL,"Head of Technical Capability, Sellafield Ltd.  For services to the Nuclear Industry and Young People in Cumbria.",Cumbria
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Agnes KENNEDY ,"Governor, Castleroe Primary School. For services to Education in Northern Ireland and charitable services.",Londonderry
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Clifford Thomas KENNEDY ,"Executive Director, Oasis Caring in Action.  For services to the community in Belfast.",Belfast
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Deirdre Ann KENNEDY ,"Parliamentary Clerk, Defra. For services to Public Administration and the community.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Alderman William Thomas KENNEDY ,"Councillor, Ballymoney Borough Council.  For services to Local Government and Motorcycle Road Racing.",Antrim
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William John KERNOHAN ,For services to the Bus Industry.,Antrim
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Rebecca Claire KERVELL ,"Volunteer, Map Action.  For services to Disaster Relief and Humanitarian Aid.",Hertfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Peter KESSLER ,"Founder and Chair of Governors, Eden Primary, Muswell Hill, London.  For services to Education.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Halimah Gulzar KHALED ,For services to charity and to Community Relations in Nottingham.,Nottinghamshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Jessica Susan KIDD ,For services to Young People in Northern Ireland.,Down
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Helen Joanna Mary KILBRIDE-ROBERTS ,"Chair, Ditchling Museum of Art and Craft, West Sussex.  For services to the Arts and Crafts.",West Sussex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James Peter Daniel KINSELLA ,Cabinet Office. For public service.,Hampshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan Ann KIRK ,"Forest Pathology Technician, Forestry Commission. For services to Tree Health, Forest Research and the community in Hampshire.",Hampshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Gavin Alexander KIRKPATRICK ,"Temporary Chief Inspector, Police Service of Nothern Ireland.  For services to Policing and the community in Northern Ireland.",Belfast
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Richard KNIGHT ,For services to Rowing.,Surrey
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan Elizabeth KNOWLES ,"Paediatric and Educational Audiologist, Kingston Hospital NHS Foundation Trust. For services to Child Health.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Lionel KOPELOWITZ ,For services to Interfaith Relations.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Peter LAING JP DL,"For services to Business, Philanthropy and the community in Keith, Banffshire.",Banffshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Philippa Jayne LANGLEY ,For services to the Exhumation and Identification of Richard III.,Edinburgh
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stephen Thomas LARARD ,"For services to the Magistracy and to charity in Hull, East Riding of Yorkshire.",East Riding of Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Angela Jean LAWRENCE ,"Founder and Executive Director, Manchester Active Voices. For services to Tackling Gang and Youth Violence.",Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Bryan William LAWRENCE ,For voluntary service to Scouting in Scarborough.,North Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Thomas William LAWSON ,For services to the St Vincent de Paul Society in North East England and to the community in Tyne and Wear.,Tyne and Wear
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Claire Louise LAYLAND ,"Lately Special Educational Needs Teacher, Plymouth.  For services to Special Educational Needs.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Diane Camille LAYZELLE ,"Head of Student Life, Croydon College.  For services to Further Education.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Patricia LE-BRUIN ,"Lately Honours Secretary, Department for Culture, Media and Sport. For public service.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Malcolm John LEEDING ,For services to the community in Oxfordshire.,Oxfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Liam LEHANE ,Ministry of Defence. For services to Defence.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Patricia LEOPOLD ,"Sessional Lecturer and Advocate of Pro Bono Activities, University of Reading.  For services to Higher Education.",Oxfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Colin LEWIS ,"Police Inspector, Youth Engagement Unit. For services to Young People in Merseyside.",Merseyside
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Donna Marie LEWIS ,"Head of Consolidation and Financial Reporting, Education Funding Agency.  For services to Education.",Warwickshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jean Lesley LEWIS ,"Chair of Governors, Ashmount Special School, Loughborough.  For services to Education.",Leicestershire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sandra LINDSAY ,"Chair, Tangerine Public Relations and Project Director, The Juice Academy.  For services to Business and Young People.",Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Trevor John LLOYD ,Bookbinder. For services to the Craft of Bookbinding and Book Restoration.,Powys
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Georgina Margaret LOGAN ,"Lately President, Scottish Swimming.  For services to Sport in Scotland.",Fife
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Brian William LORD ,"Lately Prison Officer, HMP Manchester. For services to the Prison Service.",Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert Sidney LOVE ,"Local Authority Governor, Morden Mount and Other Primary Schools, Greenwich, London.  For services to Education.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Ruth LOWBRIDGE ,"Executive Chair, SFEDI Group.  For services to Entrepreneurs and UK Business.",Durham
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Alan Francis Peter LOWE ,"For services to Scouting and to the community in Budleigh Salterton, Devon.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Pauline Ruth LUCAS ,"President, Conservative Women's Organisation. For political service.",Essex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Philip Sidney LUSBY ,"Head of School of Horticulture, Royal Botanic Garden Edinburgh. For services to UK Plant Conservation and Botanical and Horticultural Education.","Roxburgh, Ettrick and Lauderdale"
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Rosemary LYNESS ,"Lately Executive Nurse Director, NHS Lanarkshire.  For services to Nursing and Midwifery.",Glasgow
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Derek Stewart MACCALLUM ,"East Kilbride Contact Centre, HM Revenue and Customs. For services to Public Administration and voluntary service to the community in Scotland.",Dunbartonshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Eric MacLean MACINTYRE ,"Lately Higher Education Manager, Loughborough College. For services to Higher Education.",Leicestershire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Catherine Elizabeth MACKINLAY ,For voluntary service to St John Ambulance.,North Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Carolyn Heather MACLEOD ,"Programme Manager, Royal Caledonian Education Trust.  For services to Education in the Armed Forces.",Edinburgh
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Blair Alan Charles MACNAUGHTON ,For services to Tartan Weaving and Kilt Making in Scotland.,Perth and Kinross
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Rosemarie Anne MACQUEEN ,For services to the Preservation of Heritage.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Andrew Bell MAGOWAN ,For services to Economic Development and to the community in Northern Ireland.,Londonderry
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Marie MALLON ,"Lately Director of Human Resources, Belfast Health and Social Care Trust.  For services to Health and Social Care.",Belfast
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lesley Janet Sophia MALONE ,"Lately Chartered Teacher of Physical Education, Linlithgow Academy. For services to Physical Education and Sport.",West Lothian
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan Joy MARSHFIELD ,For services to the community in Bristol and South Gloucestershire.,Gloucestershire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Rebecca MASRI ,For services to charity.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jacalyn Claire MATHERS ,"Designated Nurse for Safeguarding Children, Bristol Clinical Commissioning Group.  For services to Tackling Female Genital Mutilation in Bristol.",Bristol
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Valerie Joy MAYNARD ,"Prison Volunteer, HMP Lewes.  For services to Prisoners and their Families.",West Sussex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Robert MAYNE ,"Joint Chair and Director, CDM Community Transport and Chair, Shopmobility Cookstown and Dungannon.  For services to Rural Transport and People with Disabilities.",Tyrone
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lynn MCBURNEY ,"Vice Chair of the Board of Governors, Moorfields Primary School and Governor, Dunclug College. For services to Education.",Antrim
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Hugh Brown MCCLUNG ,"Chairman, Stirling Tenants' Assembly. For services to the community in Stirling.",Stirling and Falkirk
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Sister Mary Ann MCCREADY ,For services to People with Hearing Difficulties in Manchester.,Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Michelle Elizabeth MCCRINDLE ,"Chief Executive, Food Train.  For services to Older People in Scotland.",Dumfries
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Scott MCCULLOCH ,"Senior Executive Officer, Ministry of Defence. For services to Defence.",Abroad
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Ann MCDONALD ,"Voluntary Trusts Secretary, The Mary Budding Trust. For services to Children and Young People with Special Educational Needs.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James Thomas MCKELVEY ,"Lately Managing Director, TerumoBCT.  For services to the Economy in Northern Ireland.",Antrim
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Colette MCKUNE ,"Deputy Chief Executive, City West Housing Trust. For services to the community.",Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Henry MEADOWS ,"Forest District Manager, Dumfries and Borders, Forestry Commission. For services to Forestry.",Dumfries
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Martha Eleanor MEARNS ,For services to Young People in Northern Ireland.,Down
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lorraine MERCER ,"For services to the community and to charity in Haywards Heath, West Sussex.",West Sussex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Alexander MILLER ,For services to Cricket and charity in Northern Ireland.,Londonderry
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Yvonne MILLER ,"Operations Manager, HM Court and Tribunal Service, East Hampshire and Isle of Wight. For services to Children within the Family Justice System.",Hampshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Barbara Patricia MILLNS ,For services to Rowing in Tyne and Wear.,Tyne and Wear
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Alice MILLS ,"Assistant Housing Services Manager, Northern Ireland Housing Executive. For services to Housing.",Belfast
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Maria MILLS ,"Centre Manager, Oasis Community Centre, Plymouth.  For services to the community in Plymouth.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr John Gordon MILNE ,"Lately Chair, General Dental Practice Committee, British Dental Association.  For services to Dentistry.",West Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Pauline Campbell MILNE ,"Head of Clinical Workforce Development and Planning, Health Education East of England.  For services to Nurse Education.",Essex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Harriet Caroline MITCHISON ,"Consultant Physician, Sunderland Royal Hospital. For services to Medicine.",Tyne and Wear
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Her Hon Judge Anne MOLYNEUX ,For services to the Administration of Justice and voluntary service to Disadvantaged People.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John James MONAGHAN ,For services to Sport Administration in Northern Ireland.,Belfast
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lesley MOODY ,"Managing Director, AES Digital Solutions Ltd.  For services to Business, Education and International Trade.",Northumberland
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Norman Brian MOORE ,"Lately Director, Wales Council for Deaf People.  For services to Deaf People in Wales.",Carmarthenshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David William MORGAN ,For services to Business and to Charity in the West Country.,Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David Wyndham MORGAN DL,For services to Agriculture and for voluntary service to the Agricultural Community in Monmouthshire.,Monmouthshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Craig MORLEY ,For services to Young People and to the community.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Tegwen Evana MORRIS ,"National Director, Merched y Wawr.  For services to Language and Culture in Wales and for voluntary and charitable service in Aberystwyth and Overseas.",Ceredigion
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Catriona MORRISON ,For services to Sport and voluntary service in Scotland.,West Lothian
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Connor MUIR ,"Founder, Inverclyde Anti-Knife Group.  For services to Victims of Crime and Crime Prevention.",Renfrewshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Arif MUKADAM ,"Administrative Officer, HM Revenue and Customs. For services to Combatting Tax Credits Error and Fraud and voluntary service to the community in Lancashire.",Lancashire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Alastair William Marshall MURRAY ,"Lately Security Office Operations Manager, Scottish Parliament.  For parliamentary and community service in Scotland.",Edinburgh
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Wanjiru MWAURA ,"Senior Peace and Security Adviser, Department for International Development. For services to Conflict Prevention in Africa.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Debra Ann MYHILL ,"Director, Centre for Research in Writing and Subject Leader for Secondary English, University of Exeter.  For services to the Social Sciences.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Lynda Helen MYLES-TILL ,"Ambassador, Action for Children.  For services to Children and Young People.",Oxfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Shane NAINAPPAN ,"UK Asset Recovery Adviser to the UAE and GCC, International Division, Crown Prosecution Service.  For services to Law and Order, particularly International Co-operation.",Hertfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Rupinder Kaur NANDRA ,"Senior International Projects and Programmes Manager, Birmingham Chamber of Commerce. For services to International Business.",West Midlands
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Elizabeth Rosina NEAT ,For services to Community Cohesion.,Lancashire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Michelle Denise NEWMAN ,"Threshold Team Manager, Plymouth. For services to Children and Families.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Avril Rosemary NEWTON ,"Lately Headteacher, Sanday Community School.  For services to Outdoor Education and to the community in Orkney.",Orkney
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Jennifer Lizzie NGULUBE ,"Foster Carer for Swiss Foster Care, Leeds. For services to Children.",West Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James Leslie Robin NICHOLS ,For services to Disabled Water-Skiing.,Berkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Gillian NOWLAND ,"Chief Executive Officer, One25.  For services to Vulnerable Women.",Bristol
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Councillor Mrs Frances Mary OBORSKI ,For political and public service in Kidderminster and Wyre Forest.,Worcestershire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Councillor Stephen Thomas O'BRIEN ,"Chairman, Watford Conservative Association. For voluntary political service.",Hertfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Erinma Eke OCHU ,"Wellcome Trust Engagement Fellow, University of Manchester.  For services to Public Engagement in Science, Engineering and Technology.",Greater Manchester
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James O'CONNOR ,"Chief Executive, NOAH Enterprise, Luton.  For services to Homeless People in Bedfordshire.",Northamptonshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Nigel Timothy James O'CONNOR ,"Consultant Haematologist, Royal Shrewsbury Hospital, Shropshire. For services to Haematology.",Shropshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Ian Douglas O'DONNELL ,"Director, Real Point.  For services to the Economy and the community in the West Midlands.",West Midlands
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Heather Ann OGBURN ,"Founder, HMS Heroes.  For services to Education.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Gladys Bowman OGILVY-SHEPHERD ,For services to Animal Welfare and Veterinary Education.,Fife
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Kate Joanne ORRICK ,"Head of DFID Libya, Department for International Development. For services to Development and Humantiarian Assistance.",Surrey
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Michelle OVENS ,"Director, Ovens & Co and National Campaign Director, Small Business Saturday.  For services to Enterprise.",Oxfordshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr George OWEN ,"Chair, Omnibus. For services to the Arts and the community in Clapham.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Joseph Barrie OWEN ,"President, Swansea Harriers Athletic Club. For services to Welsh Athletics.",Swansea
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sandra Kathleen PADDON ,"For services to the community in Sidcup, Kent.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Marilyn PALMER FSA,For services to Industrial Archaeology and Heritage.,Leicestershire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Michael Keith PALMER ,"Chairman, Waterway Recovery Group.  For voluntary service to the Restoration of British Waterways.",Warwickshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Herbert John PARK ,"For services to the community in Ballymena, Northern Ireland.",Antrim
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Janet Elizabeth PARK ,"Lately Pharmacist, Robertson’s Pharmacy, Coatbridge. For services to Healthcare in Lanarkshire.",Lanarkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jillian Winifred PARKER ,"Founder, Eastbourne Area Parents Action Group and the JPK Sussex Project, Eastbourne. For services to Children and Adults with a Learning Disability and their Families.",East Sussex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Trevor John PARKHILL ,"Chairman, Hazelwood Integrated College. For services to Education in Northern Ireland.",Belfast
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Aileen Margaret PARRY ,"Chair of Governors, Oaklands School, Cheshire.  For services to Special Educational Needs and Disabilities.",Cheshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Naran Bhimji PATEL ,For services to the community and Community Cohesion in Cardiff.,Cardiff
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Aileen Francis PATERSON ,Author and Illustrator. For services to Children's Literature.,Edinburgh
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Joanne Marie PAVEY ,Long-Distance Runner.  For services to Athletics.,Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Jonathan Charles PEARSE ,For political and parliamentary service.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Alison Mary PENDLE ,"Founder and Committee Member, West Wiltshire Portage Service.  For services to Special Educational Needs and Disabilities.",Wiltshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Caroline Ann PETERS ,"Chief Superintendent, Area Commander, Avon and Somerset Constabulary.  For services to Policing.",Monmouthshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Ian Joseph PETERS ,"Lately Committee Member, Regulatory Policy Committee. For services to Regulatory Reform.",Buckinghamshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Christine Ann PICKAVANCE ,"For services to the community in Huddersfield, West Yorkshire.",West Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David John Henry PICKTHALL ,"Music Teacher, Brentwood School, Essex.  For services to Education and to charity.",Essex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Captain Robin Charles PLUMLEY ,"Research Ship Manager, National Oceanography Centre. For services to Marine Science.",Hampshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Barbara Elaine POOLE ,"Lately Operations Director, Acorn Learning Solutions Ltd.  For services to Work-based Learning in Wales.",Gwent
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Lt Col John Alexander POOLE-WARREN ,"Senior Executive Officer, Ministry of Defence. For services to the Army.",Wiltshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Leslie PORTCH ,"Chairman, Avon County. For voluntary service to St John Ambulance.",Bristol
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Deborah Clare POTTER ,"Chief Officer, Dorset Special Constabulary. For services to Policing.",Dorset
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Neil Innes Cameron POWRIE DL,For voluntary service to the community in Dundee.,Dundee
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Sandra PRICE ,For services to Netball in Coventry.,West Midlands
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Kathryn Elizabeth PUGH ,"Child and Adolescent Mental Health Programme Manager, NHS England. For services to Mental Health of Children and Young People.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Professor Christopher Howard RAINE ,"Consultant ENT Surgeon, Bradford Teaching Hospitals NHS Foundation Trust. For services to the NHS and Ear Trust Charity.",West Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Hugh Howat RAMSAY ,For services to the Preservation of the Clydesdale Horse Breed.,Wigtown
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Paulette RANDALL ,Theatre Director and Producer. For services to Drama.,London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,The Reverend Roger Charles REDDING ,"Chaplain to the Roma, Gypsy and Traveller community.  For services to Interfaith Relations and community in the South West.",Somerset
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jane Victoria REDSHAW ,"For services to the community and to charity in Wolverhampton, West Midlands and Bridgnorth, Shropshire.",Shropshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Garry Douglas REED ,"Headteacher, Swimbridge Church of England Primary School, North Devon.  For services to Education.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Adeline REID ,"Founder, Keith Cancer Link.  For services to Cancer Care in the North of Scotland.",Banffshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Bruce Gavin REID ,"Fundraiser, Fire Fighters Charity.  For services to the Fire Fighters Charity and the community.",North Yorkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Sharmadean REID ,"Founder, WAH London Ltd.  For services to the Nail and Beauty Industry.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Moira Elizabeth RENNIE ,"Co-President, Rennie Grove Hospice Care.  For services to Patients with Life Limiting Illnesses.",Sutherland
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Lloyd Martin RICHARDS ,For services to the community in West Sussex.,West Sussex
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Joyce ROBERTS ,"Chair, Liverpool Church of England Council for Social Aid. For services to the community, particularly Women.",Cheshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr George Howard ROBINSON MLA,Member of the Legislative Assembly for East Londonderry. For public and political service.,Londonderry
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Frances Mary RODGERS ,"Volunteer, Early Years Sector and Founder, Rodett Playgroups.  For services to Children and Early Education.",London
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Elizabeth Margaret ROPSCHITZ ,"Mental Health Co-ordinator, Resettlement and Care for Older Ex-Offenders and Prisoners. For services to Older Prisoners in Devon.",Devon
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Eleanor ROSS ,"Dementia Strategy Lead Nurse Consultant, Public Health Agency.  For services to Healthcare in Northern Ireland.",Antrim
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Karen Rosalind ROSS ,"Chief Executive, Relate Berkshire. For services to Children and Families.",Berkshire
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Michael Robert ROUTLEDGE ,"Foster Carer, Wirral. For services to Children and Families.",Merseyside
