Year,Honours List,Order,Level,Award,Name,Citation,County
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David John BENNETT ,"Chief Executive, Sanctuary Housing Group.  For services to Social Housing.",Herefordshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Douglas BONNEY QFSM,"Chief Officer, Hampshire Fire and Rescue Service. For services to Fire Safety.",Hampshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher BRINSMEAD ,Life Science Champion.  For services to UK Life Sciences.,Cheshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Alistair Stanyer BURNS ,National Clinical Director for Dementia.  For services to Health and Social Care particularly Dementia Care.,Cheshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James CAAN ,"Founder and Chairman, Start Up Loans Company.  For services to Entrepreneurship and charitable services through the James Caan Foundation.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Victor Manuel CHAVEZ ,"Chief Executive Officer, Thales UK Ltd.  For services to the Defence and Security Industry.",Hampshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda Elizabeth CHESSELL FRENG,"Software Engineer, IBM.  For services to Engineering.",Hampshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael David Lincoln CHOWEN ,Philanthropist. For charitable services.,East Sussex
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Tina CLAPHAM ,Ministry of Defence.  For services to Defence.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Margaret Anita CLARK OBE,"Chair, Hastoe Housing and Plunkett Foundation.  For services to Rural Communities.",Dorset
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nicholas George COOPER ,"Chairman, Sterling Insurance Group Ltd.  For services to Philanthropy in Higher Education and the Arts.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth Pauline Lucy CORLEY ,"Chief Executive Officer, Allianz Global Investors.  For services to the Financial Sector.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen CRAM MBE,"Lately Chair, English Institute of Sport.  For services to Sport.",Northumberland
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan DAVEY ,"Chief Executive, Arts Council England.  For services to the Arts.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sandra DAWE MBE,"Lately Chief Executive, VisitBritain.  For services to the Tourism Industry.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Cressida Rose DICK QPM,"Assistant Commissioner, Metropolitan Police Service.  For services to Policing.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Michèle DIX ,"Managing Director, Planning, Transport for London.  For services to the Transport Industry.",Hertfordshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Wilma Christina Jean DONNELLY DL TD,"Director of Nursing, Royal College of Nursing (Wales).  For services to Nursing, the Armed Forces and Trade Unionism.",Mid Glamorgan
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nigel Wallace Boyd DUNLOP ,For services to Business and the Economy in Northern Ireland.,Down
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan Michael ECCLES ,"Chief Executive Officer and Public Guardian, Office of the Public Guardian.  For services to the Administration of Justice and Vulnerable Adults.",Staffordshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John David EMERSON ,"Chief Executive, Association of Charitable Foundations.  For services to Philanthropy and Charitable Giving.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith EXFORD ,"Chief Executive, Affinity Sutton Group. For services to Housing in London.",West Sussex
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Ruth Sarah FARWELL ,"Vice-Chancellor, Buckinghamshire New University and lately Chair, GuildHE.  For services to Higher Education.",Buckinghamshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Russell FOSTER FRS,"Professor of Circadian Neurosciences, University of Oxford.  For services to Science.",Berkshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Charles FOX ,"Chief Executive, BAM Nuttall.  For services to Civil Engineering and Construction.",Buckinghamshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Catherine Marie GARSIDE ,"Headteacher, St Ambrose Barlow RC High School, Swinton, Salford.  For services to Education.",Greater Manchester
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Shakuntala Michaela GHOSH ,For services to Venture Philanthropy and the Voluntary Sector particularly Homeless and Disadvantaged Young People.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Rodney Alan Rupert GREEN ,"Prior and Chairman of Trustees, Priory of England and the Islands.  For voluntary service to the Order of St John and St John Ambulance.",Leicestershire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Gillian GUY ,"Chief Executive Officer, Citizens Advice. For services to Consumers.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor HICKS ,"President, Hillsborough Family Support Group.  For services to Bereaved Hillsborough Families.",North Yorkshire
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Brent Shawzin HOBERMAN ,For services to Entrepreneurship.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter HOLBROOK ,For services to Social Enterprise.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jason Bruno Acker HOLT ,"Chief Executive, Holts Group and Founder, Holts Academy.  For services to the Jewellery Sector and Apprenticeships.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Eric HOUGH ,"Chair, Liverpool City Region Local Enterprise Partnership.  For services to Business in the North West.",Greater Manchester
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rt Hon (John) Michael JACK ,"Chairman, Office of Tax Simplification. For services to Tax Policy.",Devon
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Frederick Frank JARVIS ,For parliamentary and political services.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard JONES ,Opera and Theatre Director.  For services to Music.,London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Heather Evelyn JOSHI OBE FBA,"Emeritus Professor, Centre for Longitudinal Studies.  For services to Longitudinal and Women's Studies.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Judith Pamela KELLY OBE,"Artistic Director, Southbank Centre.  For services to the Arts.",London
2015,New Year ,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Erica KEMP ,Lord Mayor of Liverpool.  For public and political service.,Merseyside
