Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof David Michael GANN ,"Chair in Technology and Innovation Management, Imperial College London. For services to Engineering.",East Sussex
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Ann Margaret GREEN ,"Chair, Board of Trustees, Royal Armouries.  For services to Museums.",North Yorkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Judith Louise GREENSMITH DL,For services to the NHS in Merseyside.,Merseyside
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David GREGORY ,"Headteacher, Fosse Way Community Special School, Bath.  For services to local and national Special Needs Education.",Somerset
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Russell Douglas HAMILTON ,"Director of Research and Development, Department of Health",Somerset
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nicholas Lionel HARDWICK ,"Chairman, Independent Police Complaints Commission.  For public service.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Robert HARRISON ,For charitable services through the Peter Harrison Foundation.,Surrey
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Terence HODGKINSON ,"Chairman of Yorkshire Forward, Regional Development Agency.  For services to Business and to Regeneration.",West Yorkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Eileen Rosemary HOLMES ,"President, Industrial Tribunals and the Fair Employment Tribunal in Northern Ireland.  For services to Industrial Relations.",Down
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Ann Jacqueline HUNTER ,"Former Senior Vice-President and Head, Science Environment Development, GlaxoSmithKline.  For services to the Pharmaceutical Industry.",Hertfordshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Hugh HUNTING ,"Lately Chairman, Geffrye Museum Trust.  For services to the Arts and to Heritage.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Rajendran HYMAN ,"Chief Executive Officer, Serco Group plc.  For services to Business and to Charity.",Surrey
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Karl William Pamp JENKINS OBE,Composer.  For services to Music.,Swansea
