Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jeremy Michael ISAACS ,"Chair, Remuneration Committee, Imperial College Healthcare NHS Trust.  For services to the NHS.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor James Anthony JACKSON FRS,"Professor of Active Tectonics, University of Cambridge. For services to Environmental Science.",Cambridgeshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Matthew JEAVONS ,"Chief Executive, Independent Reconfiguration Panel and Director of Commissioning, Specialised Services, NHS England.  For services to the NHS.",West Yorkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr David Bernard KENNEDY ,"Lately Chief Executive, Committee on Climate Change. For services to the Environment.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan KENT ,Opera and Musical Director. For services to Music and Theatre.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Melanie Jane LEECH ,"Lately Director General, Food and Drink Federation.  For services to the Food and Drink Industry.",West Sussex,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Nusrat LILANI OBE,"Founder and Chair, Women of the Future.  For services to Women in Business.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Ann LIMB OBE DL,For political service.,Buckinghamshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Helen Margaret MAHY ,"For services to Business and voluntary service, particularly to the Legal Profession and Diversity in the Workplace.",Surrey,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Kenneth MASON ,"Head of Directorate for Economic Development, Scottish Government. For public service to Business and Major Events.",West Lothian,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Alexander MATHESON ,"Director of Health Finance, e-Health and Analytics, Scottish Government.  For services to Healthcare.",Edinburgh,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire, Clare Elizabeth MATTERSON ,"Director of Strategy, Wellcome Trust.  For services to Public Engagement with Science.",Suffolk,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Heather MCGREGOR ,"For services to Business, especially Employment Skills and Diversity in the Workplace.",Oxfordshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lady Nicola MENDELSOHN ,"Co-Chair, Creative Industries Council and Vice President, Europe, Middle East and Africa, Facebook. For services to Creative Industries.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Theresa MIDDLETON ,"Director, Business Customer and Strategy, London, HM Revenue and Customs. For services to Small Businesses.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Andrew Harold MITCHELL ,"Lately Programme Director, Crossrail.   For services to Civil Engineering.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Chaand NAGPAUL ,"Chair, General Practitioners Committee, British Medical Association.  For services to Primary Care.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda NEVILL ,"Chief Executive, British Film Institute. For services to the Film Industry.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth NICHOLL OBE,"Chief Executive, UK Sport.  For services to Sport.",Hertfordshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jonathan Paul NICHOLL ,"Dean, School for Health and Related Research, University of Sheffield.  For services to Health Research.",South Yorkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Carole Ann OATWAY ,"Chief Executive, Criminal Injuries Compensation Authority. For services to Victims of Crime.",Glasgow,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Diana OWEN ,"Chief Executive and Trustee, LEAD Academy Trust.  For services to Education.",Nottinghamshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Lynne Gillian OWENS QPM,"Chief Constable, Surrey Police. For services to Policing and Criminal Justice.",Surrey,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Hamid PATEL ,"Chief Executive, Tauheedul Education.  For services to Education.",Lancashire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Charles William PLANT ,"Chair, Solicitors Regulation Authority Board. For services to Legal Education and Regulation.",Kent,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alexander Moinet POOTS ,"Chief Executive Officer and Artistic Director, Manchester International Festival. For services to the Arts.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Christina Ann POTTER ,"Principal, Dundee and Angus College.  For services to Education.",Edinburgh,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Alan PYM ,"Chairman, UK Asset Resolution. For services to Taxpayers and Financial Stability.",Hertfordshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Christina Henking Muller REES ,For services to the Church of England.,Hertfordshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Andrew John McGlashan RICHARDS ,"Chairman, Ixico, Abcodia, Congenica, Novacta.  For services to Investment in the Life Sciences Industry.",Cambridgeshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edward Charles RICHARDS ,"Lately Chief Executive, Office of Communications.  For services to the Media, Telecomms and Communications Markets.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter ROBERTS ,"Principal, Leeds City College.  For services to Further Education.",West Yorkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jaee Kamalnath SAMANT ,"Director, Labour Market Policy, Department for Business, Innovation and Skills. For services to the Reform of Social Policy.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Judge Derek SEARBY TD,Lately District Tribunal Judge.  For services to the Administration of Justice and the Tribunals Judiciary.,West Yorkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Malcolm SHEPHERD ,"Chief Executive Officer, Sustrans. For services to Transport and the Environment.",Bristol,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Neil Roger SHERLOCK ,For public and political service.,Surrey,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Hari Prasad Mohan Lal SHUKLA OBE,For services to Interfaith and to the community in Tyne and Wear.,Tyne and Wear,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Louise Isabelle SILVERTON ,For services to Midwifery and Maternal and Child Health.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor David SIMMONDS ,"Deputy Leader, London Borough of Hillingdon and Executive Member, Local Government Association. For services to Children, Families and Local Government.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Dominic Crispin Adam SIMON ,"Lately Managing Director, Trade Group, UK Trade and Investment. For services to the Development of Trade for UK Exporters.",Somerset,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nathaniel Lester SLOANE ,For services to Venture Philanthrophy and Social Investment.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Gillian Mary SLOCOMBE ,Chief Guide.  For services to Girls and Young Women.,Somerset,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Anthony David STEEN ,"Chairman, the Human Trafficking Foundation. For services to Fighting Modern Day Slavery",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Carole STONE ,For services to Market Research and to charity.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Yvonne Anne STRACHAN OBE,"Head of Equality, Human Rights and Third Sector, Scottish Government.  For services to Equality.",East Lothian,
