New Year ,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Professor Christopher John MacRae WHITTY ,"Chief Scientific Adviser, Department for International Development.  For public and voluntary service to Tropical Medicine in the UK and Africa.",London
New Year ,2015,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Professor Sir John Irving BELL FRS,"For services to Medicine, Medical Research and the UK Life Science Industry.",Oxfordshire
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Susan Margaret BRUCE ,"Chief Executive, City of Edinburgh Council.  For services to Local Government in Scotland.",Stirling and Falkirk
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Kate DETHRIDGE ,"Principal, Churchend Primary School, Reading and National Leader of Education.  For services to Education.",Berkshire
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Carol Ann DUFFY CBE,Poet Laureate.  For services to Poetry.,Greater Manchester
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Oremi EVANS ,"Headteacher, The Brookfield School, Herefordshire.  For services to Education.",Herefordshire
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Fiona Marie KENDRICK ,"Chair and Chief Executive Officer, Nestl� UK and Ireland.  For services to the Food and Drink Industry and to Skills Development.",Surrey
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Rt Hon Anne Catherine MCGUIRE MP,Member of Parliament for Stirling. For parliamentary and political services.,Dunbartonshire
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Joyce Evelyn PLOTNIKOFF ,"Director, Lexicon Ltd.  For services to Justice, particularly Vulnerable and Child Witnesses.",Hertfordshire
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Barbara Mary PLUNKET GREENE OBE,For services to British Fashion.,Surrey
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Esther Louise RANTZEN CBE,For services to Children and Older People through ChildLine and The Silver Line.,London
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Teresa Lesley REES CBE,"Professor of Social Science, Cardiff University and lately Director for Wales, Leadership Foundation for Higher Education. For services to Social Sciences.",South Glamorgan
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Kristin SCOTT THOMAS OBE,Actress.  For services to Drama.,London
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Eileen SILLS CBE,"Chief Nurse and Director of Patient Experience, Guy's and St. Thomas's NHS Foundation Trust.  For services to Nursing.",London
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms (Ila) Dianne THOMPSON CBE,"Lately Group Chief Executive Officer, Camelot.  For services to the National Lottery and charitable services.",Buckinghamshire
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Marina Sarah WARNER CBE FBA,"Professor, School of Arts and Humanities, University of London and Fellow, All Souls College, Oxford.  For services to Higher Education and Literary Scholarship.",London
New Year ,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs (Catherine) Fiona WOOLF CBE,"Lately Lord Mayor of London.  For services to the Legal Profession, Diversity and the City of London.",Surrey
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Margaret Mary ASPINALL ,"Chair, Hillsborough Family Support Group, Liverpool.  For services to Bereaved Hillsborough Families.",Merseyside
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Judge Brian John BARKER QC,Recorder of London.  For services to the Adminisitration of Justice and to charity.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Graeme William Walter BARKER FBA,"Lately Disney Professor of Archaeology and Director, McDonald Institute for Archaeological Research, University of Cambridge. For services to Archaeology.",Norfolk
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor Graham BAYLIS OBE,"Inventor and Founder, Trevor Baylis Brands plc.  For services to Intellectual Property.",Middlesex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Martin George BEAN ,"Vice-Chancellor, The Open University.  For services to Higher Education.",Bedfordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Virginia BEARDSHAW ,"Chief Executive, I CAN Children's Charity. For services to Children with Special Needs and Disabilities.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David John BENNETT ,"Chief Executive, Sanctuary Housing Group.  For services to Social Housing.",Herefordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Douglas BONNEY QFSM,"Chief Officer, Hampshire Fire and Rescue Service. For services to Fire Safety.",Hampshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher BRINSMEAD ,Life Science Champion.  For services to UK Life Sciences.,Cheshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Alistair Stanyer BURNS ,National Clinical Director for Dementia.  For services to Health and Social Care particularly Dementia Care.,Cheshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James CAAN ,"Founder and Chairman, Start Up Loans Company.  For services to Entrepreneurship and charitable services through the James Caan Foundation.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Victor Manuel CHAVEZ ,"Chief Executive Officer, Thales UK Ltd.  For services to the Defence and Security Industry.",Hampshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda Elizabeth CHESSELL FRENG,"Software Engineer, IBM.  For services to Engineering.",Hampshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael David Lincoln CHOWEN ,Philanthropist. For charitable services.,East Sussex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Tina CLAPHAM ,Ministry of Defence.  For services to Defence.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Margaret Anita CLARK OBE,"Chair, Hastoe Housing and Plunkett Foundation.  For services to Rural Communities.",Dorset
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nicholas George COOPER ,"Chairman, Sterling Insurance Group Ltd.  For services to Philanthropy in Higher Education and the Arts.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth Pauline Lucy CORLEY ,"Chief Executive Officer, Allianz Global Investors.  For services to the Financial Sector.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen CRAM MBE,"Lately Chair, English Institute of Sport.  For services to Sport.",Northumberland
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan DAVEY ,"Chief Executive, Arts Council England.  For services to the Arts.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sandra DAWE MBE,"Lately Chief Executive, VisitBritain.  For services to the Tourism Industry.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Cressida Rose DICK QPM,"Assistant Commissioner, Metropolitan Police Service.  For services to Policing.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Mich�le DIX ,"Managing Director, Planning, Transport for London.  For services to the Transport Industry.",Hertfordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Wilma Christina Jean DONNELLY DL TD,"Director of Nursing, Royal College of Nursing (Wales).  For services to Nursing, the Armed Forces and Trade Unionism.",Mid Glamorgan
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nigel Wallace Boyd DUNLOP ,For services to Business and the Economy in Northern Ireland.,Down
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan Michael ECCLES ,"Chief Executive Officer and Public Guardian, Office of the Public Guardian.  For services to the Administration of Justice and Vulnerable Adults.",Staffordshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John David EMERSON ,"Chief Executive, Association of Charitable Foundations.  For services to Philanthropy and Charitable Giving.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith EXFORD ,"Chief Executive, Affinity Sutton Group. For services to Housing in London.",West Sussex
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Ruth Sarah FARWELL ,"Vice-Chancellor, Buckinghamshire New University and lately Chair, GuildHE.  For services to Higher Education.",Buckinghamshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Russell FOSTER FRS,"Professor of Circadian Neurosciences, University of Oxford.  For services to Science.",Berkshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Charles FOX ,"Chief Executive, BAM Nuttall.  For services to Civil Engineering and Construction.",Buckinghamshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Catherine Marie GARSIDE ,"Headteacher, St Ambrose Barlow RC High School, Swinton, Salford.  For services to Education.",Greater Manchester
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Shakuntala Michaela GHOSH ,For services to Venture Philanthropy and the Voluntary Sector particularly Homeless and Disadvantaged Young People.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Rodney Alan Rupert GREEN ,"Prior and Chairman of Trustees, Priory of England and the Islands.  For voluntary service to the Order of St John and St John Ambulance.",Leicestershire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Gillian GUY ,"Chief Executive Officer, Citizens Advice. For services to Consumers.",London
