New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Josephine Dawn ADES OBE,"Professor of Art History and Theory, University of Essex.  For services to Higher Education and Art History.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Reginald William BAILEY ,"Chief Executive, Mothersﾒ Union. For service to Children and Families.",Essex
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alexander Charles BEARD ,"Deputy Director, Tate.  For services to the Arts.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Judge Peter John Luther BEAUMONT QC,Recorder of London.  For services to the Administration of Justice.,Suffolk
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr (John) Michael BERMAN ,"Chairman, Southbank Sinfonia.  For services to Music and Philanthropy.",Buckinghamshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Cherie BLAIR ,For services to Women's Issues and to charity in the UK and Overseas.,London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Steven Robert BOORMAN ,Consultant in Occupational Health. For services to Occupational Medicine.,Surrey
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Peter BOTHAMLEY ,"Founder, the Four Acre Trust. For charitable services in the UK and Overseas.",Herefordshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Terence George BRAMALL ,Philanthropist.  For charitable services.,North Yorkshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Timothy James BREEDON ,"Lately Group Chief Executive, Legal and General Group and Chairman, Association of British Insurers. For services to the Insurance Industry.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John Richard BRITTON ,"Honorary Consultant in Respiratory Medicine and Professor of Epidemiology, Nottinghamshire.  For services to Respiratory Medicine.",Nottinghamshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,The Hon Mr Justice Thomas Alexander BURGESS ,Lately Presiding County Court Judge and Temporary High Court Judge and Recorder of Belfast.  For services to the Administration of Justice.,Down
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Catherine BUSH ,Singer and Songwriter. For services to Music.,Oxfordshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Brian CANTOR ,"Vice-Chancellor, The University of York.  For services to Higher Education.",North Yorkshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael Maurice CASHMAN MEP,"Member of the European Parliament for the West Midlands and Co-Founder, Stonewall.  For public and political service.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor David Millar CLARK FBA,"National Clinical Adviser, Department of Health.  For services to Mental Health.",Oxfordshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr David Douglas CLEEVELY ,"Founding Director, Centre for Science and Policy, University of Cambridge.  For services to Technology and Innovation.",Cambridgeshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James Michael Thomas COCHRANE ,"Chairman, The British Red Cross Society.  For services to Health.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Neale COLEMAN ,"Director, London 2012, Greater London Authority. For services to the London 2012 Olympic and Paralympic Games.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Neil COULING ,"Work Services Director, Department for Work and Pensions.  For public service.",Hampshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sherry COUTU ,Angel Investor.  For services to Entrepreneurship.,Cambridgeshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Barry Geoffery COX ,"Chairman, Digital UK. For services to the Media and Digital Television.",London
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Philip Gotsall COX ,"Chief Executive Officer, International Power.  For services to the Energy Industry.",Buckinghamshire
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr (John) Geraint DAVIES ,For voluntary and charitable services in Wales.,Vale of Glamorgan
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Helen DEEBLE ,"Chief Executive, P&O Ferries Division and President, UK Chamber of Shipping.  For services to the Shipping Industry.",Kent
New Year,2013,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Joseph Stuart ELBORN ,"Professor of Respiratory Medicine and Consultant Physician, Queen's University Belfast.  For services to Healthcare in Northern Ireland.",Down
