,,Birthday Honours List 2011,,,,,
New Year,List,Order,Level,Award,Name,Citation,County
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Paul William JOWITT ,"Professor of Civil Engineering Systems, Heriot Watt University and President, Institution of Civil Engineers.  For services to Technology.",Edinburgh
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Charles KEMP ,"Vice-Chairman, Local Government Association.  For public service.",Merseyside
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire, Judith Anne KILLICK ,"Executive Director, Judicial College, Ministry of Justice.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Justin Matthew KING ,"Chief Executive, J Sainsbury plc. For services to the Retail Industry.",Warwickshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Her Honour Frances Margaret KIRKHAM ,For services to the Legal Profession and to the Administration of Justice.,West Midlands
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John KNIGHT JP,For services to People with Disabilities.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Judith Mary KNOTT ,"Director of CT, International and Anti-Avoidance, HM Revenue and Customs.",Hertfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Deborah LAVIN ,"Principal, Isle of Wight College.  For services to Further Education.",Isle of Wight
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Gillian Catherine LENG ,"Chief Operating Officer, NHS Evidence and Deputy Chief Executive, National Institute for Health and Clinical Excellence.  For services to the NHS.",Bedfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Julian LOB-LEVYT ,For services to Global Health.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Lionel MAYHEW ,"Chairman, J P Morgan Cazenove.  For services to the Financial Services Industry.",Hampshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John MCDONOUGH ,"Chief Executive, Carillion plc. For services to the Construction Industry.",West Midlands
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Kathryn MCDOWELL DL,"Managing Director, London Symphony Orchestra.  For services to Music.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Anthony MCGUIRK QFSM,"Chief Fire Officer, Merseyside Fire and Rescue Service.  For services to Local Government.",Merseyside
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Isobel MILLS ,"Lately Deputy Director, People and Communities, Government Office for Yorkshire and the Humber, Department for Communities and Local Government.",West Yorkshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Thomas MORAHAN ,Director.  For services to Drama.,Surrey
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alexander (Sandy) Robert NAIRNE ,"Director, National Portrait Gallery.  For services to the Arts.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter NEYROUD QPM,"Chief Constable and Chief Executive Officer, National Policing Improvement Agency.  For services to the Police.",Oxfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jan PAHL ,For services to Social Science.,Kent
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher William PARFITT ,"Chairman and CEO, General Motors UK Ltd. For services to the Automotive Industry.",Buckinghamshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Mayur Parsuram PATEL ,"Team Leader, Litigation, Treasury Solicitor's Department.",Middlesex
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jack PETCHEY OBE,"Founder, Jack Petchey Foundation for Young People.  For charitable services.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Maggy Louise PIGOTT ,"Lately Executive Director, Judicial Studies Board, Ministry of Justice.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ian Michael PRYCE ,"Principal, Bedford College.  For services to Further Education.",Northamptonshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James Hiljamar Rene QUINAULT ,"Head, Defence, Diplomacy and Intelligence Team, HM Treasury.",Hampshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Mary QUINN ,"Head of the Child Maintenance and Enforcement Division, Department for Social Development, Northern Ireland Executive.",Armagh
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Martin Peter READ ,For services to the Public Sector and to Business.,Hampshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr James Stark RENNIE ,Lately Dean of Postgraduate Dental Education.  For services to Dentistry.,Fife
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Noel ROBERTS OBE,For services to Optometry.,Cardiff
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Barbara ROGERS ,"Headteacher, St Patrick's Roman Catholic High School and Arts College, Salford.  For services to local and national Education.",Greater Manchester
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Lloyd ROGERS ,"Group Chief Executive, Babcock International Group plc. For services to the Defence Industry.",Surrey
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Joanna Lesley SIMONS ,"Chief Executive, Oxfordshire County Council.  For services to Local Government.",Oxfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Judith SIMPSON ,"Head of Parliament and Constitution Division, Cabinet Office.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Patricia Beatrice SOWTER ,"Principal, Cuckoo Hall Academy, London Borough of Enfield.  For services to local and national Education.",Middlesex
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Mark Howard STEPHENS ,For services to the Legal Profession.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Andrew Charles STOTT ,"Lately Director, Transparency and Digital Engagement, Cabinet Office.",Kent
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Yasir SULEIMAN ,"Professor of Modern Arabic Studies, King's College, University of Cambridge.  For services to Scholarship.",Cambridgeshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Elaine THOMAS ,"Vice-Chancellor, University for the Creative Arts.  For services to Higher Education.",Surrey
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jennifer Anne THOMAS ,"Professor of Particle Physics, University College London.  For services to Science.",East Sussex
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Simon John THURLEY ,"Chief Executive, English Heritage.  For services to Conservation.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Antony Ronald WADSWORTH ,For services to the Music Industry.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Victor Noel Stanley WAKELING ,For services to Sports Broadcasting.,Hampshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Philip Anthony WALLER ,"Senior District Judge, Family Division.  For services to the Administration of Justice.",Hertfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edward Maurice WATKINS ,"Chairman, Charitable Fundraising Board, Central Manchester University Hospitals NHS Foundation Trust.  For charitable services.",Cheshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David WAY ,"Deputy Chief Executive, National Apprenticeship Service, Department for Business, Innovation and Skills.",Warwickshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Gavin WHITEFIELD ,"Chief Executive, North Lanarkshire Council.  For services to Local Government.",Lanarkshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Geoffrey James WHITTY ,"Lately Director, Institute of Education, University of London.  For services to Teacher Education.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Brian Owen WILLIAMS ,"Lately President, Royal College of Physicians and Surgeons of Glasgow.  For services to Medicine.",Glasgow
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan Thorpe Richard WOOD ,"Director of Children's Services, London Borough of Hackney.  For services to Education and to Local Government.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr William Thompson WRIGHT OBE,For services to the Bus industry in Northern Ireland.,Antrim
